


Year    Sunspots    Open-Loop Prediction    Closed-Loop Prediction

1960       0.572                   0.296                     0.296
1961       0.327                   0.297                     0.296
1962       0.258                   0.302                     0.303
1963       0.217                   0.309                     0.312
1964       0.143                   0.305                     0.307
1965       0.164                   0.306                     0.303
1966       0.298                   0.307                     0.304
1967       0.495                   0.321                     0.321
1968       0.545                   0.327                     0.324
1969       0.544                   0.316                     0.316
1970       0.540                   0.306                     0.304
1971       0.380                   0.293                     0.295
1972       0.390                   0.303                     0.307
1973       0.260                   0.309                     0.310
1974       0.245                   0.302                     0.305
1975       0.165                   0.297                     0.306
1976       0.153                   0.300                     0.292
1977       0.215                   0.308                     0.302
1978       0.489                   0.314                     0.307
1979       0.754                   0.308                     0.295
